"review_id";"title";"review_text";"rating";"review_date";"cleaned_text"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"what a beautiful property the ocean view exceeded our expectations can t wait to come back"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"absolutely stunning resort the resort architecture was outstanding worth every penny"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"my partner and i visited bali our private villa was incredible truly an authentic experience"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"what a beautiful property the ocean view was outstanding highly recommended"
"5";"Perfect getaway";"My partner and I visited Bali. Breakfast spread was impeccable. Can't wait to come back.";"5";"November 2025";"my partner and i visited bali breakfast spread was impeccable can t wait to come back"
"6";"Perfect getaway";"Our family stayed here. The main pool was top notch. Will definitely return.";"4";"May 2025";"our family stayed here the main pool was top notch will definitely return"
"7";"Mixed experience";"My partner and I visited Bali. The spa treatment was good, but the buggy service was quite expensive.";"3";"October 2024";"my partner and i visited bali the spa treatment was good but the buggy service was quite expensive"
"8";"Perfect getaway";"Absolutely stunning resort. Butler service was top notch. A must-visit in Bali.";"4";"March 2024";"absolutely stunning resort butler service was top notch a must visit in bali"
"9";"Unmatched luxury";"We just returned from Bvlgari. The spa treatment was perfect. Can't wait to come back.";"5";"September 2024";"we just returned from bvlgari the spa treatment was perfect can t wait to come back"
"10";"A 5-star dream";"Absolutely stunning resort. The Italian restaurant was impeccable. Worth every penny.";"4";"April 2026";"absolutely stunning resort the italian restaurant was impeccable worth every penny"
"11";"Incredible experience";"My partner and I visited Bali. The ocean view exceeded our expectations. Worth every penny.";"5";"August 2025";"my partner and i visited bali the ocean view exceeded our expectations worth every penny"
"12";"Best resort in Bali";"My partner and I visited Bali. The Italian restaurant was absolutely breathtaking! Can't wait to come back.";"4";"June 2026";"my partner and i visited bali the italian restaurant was absolutely breathtaking can t wait to come back"
"13";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. A must-visit in Bali.";"5";"October 2024";"what a beautiful property the ocean view was outstanding a must visit in bali"
"14";"Perfect getaway";"We just returned from Bvlgari. Butler service was a dream come true. Highly recommended!";"5";"August 2024";"we just returned from bvlgari butler service was a dream come true highly recommended"
"15";"Breathtaking views";"My partner and I visited Bali. The cliffside elevator was a dream come true. Can't wait to come back.";"5";"November 2024";"my partner and i visited bali the cliffside elevator was a dream come true can t wait to come back"
"16";"Best resort in Bali";"My partner and I visited Bali. The resort architecture was incredible 😍! Truly an authentic experience.";"4";"October 2026";"my partner and i visited bali the resort architecture was incredible truly an authentic experience"
"17";"Unmatched luxury";"My partner and I visited Bali. The resort architecture was perfect. Can't wait to come back.";"5";"January 2024";"my partner and i visited bali the resort architecture was perfect can t wait to come back"
"18";"Incredible experience";"Absolutely stunning resort. The cliffside elevator was simply magical. A must-visit in Bali.";"5";"May 2025";"absolutely stunning resort the cliffside elevator was simply magical a must visit in bali"
