"review_id";"title";"review_text";"rating";"review_date";"cleaned_text";"score_syuzhet";"score_afinn";"sentiment_category";"anger";"anticipation";"disgust";"fear";"joy";"sadness";"surprise";"trust";"negative";"positive"
"1";"Exceptional service";"What a beautiful property! The ocean view exceeded our expectations. Can't wait to come back.";"5";"July 2025";"what a beautiful property the ocean view exceeded our expectations can t wait to come back";"0,90";"3";"Positive";"0";"1";"0";"0";"1";"0";"0";"0";"1";"1"
"2";"Breathtaking views";"Absolutely stunning resort. The resort architecture was outstanding. Worth every penny.";"5";"February 2025";"absolutely stunning resort the resort architecture was outstanding worth every penny";"2,25";"11";"Positive";"0";"0";"0";"0";"1";"0";"0";"1";"1";"2"
"3";"Perfect getaway";"My partner and I visited Bali. Our private villa was incredible 😍! Truly an authentic experience.";"4";"December 2025";"my partner and i visited bali our private villa was incredible truly an authentic experience";"1,80";"0";"Positive";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2"
"4";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. Highly recommended!";"5";"January 2026";"what a beautiful property the ocean view was outstanding highly recommended";"2,00";"10";"Positive";"0";"0";"0";"0";"2";"0";"0";"0";"1";"2"
"5";"Perfect getaway";"My partner and I visited Bali. Breakfast spread was impeccable. Can't wait to come back.";"5";"November 2025";"my partner and i visited bali breakfast spread was impeccable can t wait to come back";"1,65";"0";"Positive";"0";"1";"0";"0";"0";"0";"0";"1";"1";"3"
"6";"Perfect getaway";"Our family stayed here. The main pool was top notch. Will definitely return.";"4";"May 2025";"our family stayed here the main pool was top notch will definitely return";"0,40";"2";"Positive";"0";"1";"0";"0";"0";"0";"0";"1";"0";"3"
"7";"Mixed experience";"My partner and I visited Bali. The spa treatment was good, but the buggy service was quite expensive.";"3";"October 2024";"my partner and i visited bali the spa treatment was good but the buggy service was quite expensive";"1,45";"3";"Positive";"0";"2";"0";"0";"2";"0";"2";"2";"0";"3"
"8";"Perfect getaway";"Absolutely stunning resort. Butler service was top notch. A must-visit in Bali.";"4";"March 2024";"absolutely stunning resort butler service was top notch a must visit in bali";"1,55";"6";"Positive";"0";"1";"0";"0";"0";"0";"0";"2";"0";"3"
"9";"Unmatched luxury";"We just returned from Bvlgari. The spa treatment was perfect. Can't wait to come back.";"5";"September 2024";"we just returned from bvlgari the spa treatment was perfect can t wait to come back";"0,65";"3";"Positive";"0";"3";"0";"0";"2";"0";"1";"2";"1";"2"
"10";"A 5-star dream";"Absolutely stunning resort. The Italian restaurant was impeccable. Worth every penny.";"4";"April 2026";"absolutely stunning resort the italian restaurant was impeccable worth every penny";"2,00";"6";"Positive";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2"
"11";"Incredible experience";"My partner and I visited Bali. The ocean view exceeded our expectations. Worth every penny.";"5";"August 2025";"my partner and i visited bali the ocean view exceeded our expectations worth every penny";"1,95";"2";"Positive";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2"
"12";"Best resort in Bali";"My partner and I visited Bali. The Italian restaurant was absolutely breathtaking! Can't wait to come back.";"4";"June 2026";"my partner and i visited bali the italian restaurant was absolutely breathtaking can t wait to come back";"1,05";"5";"Positive";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1"
"13";"Breathtaking views";"What a beautiful property! The ocean view was outstanding. A must-visit in Bali.";"5";"October 2024";"what a beautiful property the ocean view was outstanding a must visit in bali";"1,90";"8";"Positive";"0";"0";"0";"0";"2";"0";"0";"0";"1";"3"
"14";"Perfect getaway";"We just returned from Bvlgari. Butler service was a dream come true. Highly recommended!";"5";"August 2024";"we just returned from bvlgari butler service was a dream come true highly recommended";"1,65";"5";"Positive";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"15";"Breathtaking views";"My partner and I visited Bali. The cliffside elevator was a dream come true. Can't wait to come back.";"5";"November 2024";"my partner and i visited bali the cliffside elevator was a dream come true can t wait to come back";"1,30";"3";"Positive";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1"
"16";"Best resort in Bali";"My partner and I visited Bali. The resort architecture was incredible 😍! Truly an authentic experience.";"4";"October 2026";"my partner and i visited bali the resort architecture was incredible truly an authentic experience";"1,80";"0";"Positive";"0";"0";"0";"0";"1";"0";"0";"2";"0";"2"
"17";"Unmatched luxury";"My partner and I visited Bali. The resort architecture was perfect. Can't wait to come back.";"5";"January 2024";"my partner and i visited bali the resort architecture was perfect can t wait to come back";"1,30";"3";"Positive";"0";"2";"0";"0";"1";"0";"0";"2";"1";"2"
"18";"Incredible experience";"Absolutely stunning resort. The cliffside elevator was simply magical. A must-visit in Bali.";"5";"May 2025";"absolutely stunning resort the cliffside elevator was simply magical a must visit in bali";"1,90";"4";"Positive";"0";"1";"0";"0";"1";"0";"1";"0";"0";"2"
"19";"Breathtaking views";"We just returned from Bvlgari. The main pool was absolutely breathtaking! Best trip ever.";"4";"June 2026";"we just returned from bvlgari the main pool was absolutely breathtaking best trip ever";"1,40";"8";"Positive";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2"
"20";"Exceptional service";"We just returned from Bvlgari. The spa treatment was a dream come true. Can't wait to come back.";"5";"March 2025";"we just returned from bvlgari the spa treatment was a dream come true can t wait to come back";"0,65";"3";"Positive";"0";"2";"0";"0";"1";"0";"1";"1";"1";"1"
"21";"Best resort in Bali";"What a beautiful property! Balinese hospitality was top notch. Truly an authentic experience.";"4";"March 2026";"what a beautiful property balinese hospitality was top notch truly an authentic experience";"2,25";"5";"Positive";"0";"1";"0";"0";"2";"0";"0";"2";"0";"4"
"22";"Average stay";"We just returned from Bvlgari. The cliffside elevator was good, but the wifi connection was slightly confusing.";"3";"June 2025";"we just returned from bvlgari the cliffside elevator was good but the wifi connection was slightly confusing";"0,25";"1";"Positive";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1"
"23";"Amazing stay";"Absolutely stunning resort. The resort architecture was simply magical. Truly an authentic experience.";"5";"April 2026";"absolutely stunning resort the resort architecture was simply magical truly an authentic experience";"2,00";"4";"Positive";"0";"1";"0";"0";"2";"0";"1";"2";"0";"2"
"24";"Incredible experience";"My partner and I visited Bali. The resort architecture was outstanding. A must-visit in Bali.";"4";"April 2024";"my partner and i visited bali the resort architecture was outstanding a must visit in bali";"1,95";"5";"Positive";"0";"0";"0";"0";"1";"0";"0";"1";"1";"3"
"25";"A 5-star dream";"What a beautiful property! The main pool was perfect. Truly an authentic experience.";"5";"October 2025";"what a beautiful property the main pool was perfect truly an authentic experience";"2,40";"6";"Positive";"0";"1";"0";"0";"3";"0";"0";"2";"0";"5"
"26";"Disappointing";"A mixed experience. the staff coordination needed improvement. Not worth the price.";"2";"November 2026";"a mixed experience the staff coordination needed improvement not worth the price";"1,90";"4";"Positive";"0";"0";"0";"0";"1";"0";"0";"1";"0";"2"
"27";"Good but pricey";"We just returned from Bvlgari. The Italian restaurant was good, but the dining prices was sub-par.";"3";"May 2024";"we just returned from bvlgari the italian restaurant was good but the dining prices was sub par";"0,75";"3";"Positive";"0";"1";"0";"0";"1";"0";"1";"1";"0";"1"
"28";"Exceptional service";"What a beautiful property! Balinese hospitality was a dream come true. Will definitely return.";"4";"May 2026";"what a beautiful property balinese hospitality was a dream come true will definitely return";"2,50";"6";"Positive";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2"
"29";"Mixed experience";"Absolutely stunning resort. Breakfast spread was good, but the beach access was sub-par.";"3";"December 2026";"absolutely stunning resort breakfast spread was good but the beach access was sub par";"2,10";"7";"Positive";"0";"1";"0";"0";"2";"0";"1";"1";"0";"2"
"30";"Heaven on earth";"Absolutely stunning resort. The ocean view was impeccable. A must-visit in Bali.";"5";"April 2026";"absolutely stunning resort the ocean view was impeccable a must visit in bali";"1,65";"4";"Positive";"0";"0";"0";"0";"0";"0";"0";"1";"0";"2"
"31";"Beautiful but overrated";"Absolutely stunning resort. The main pool was good, but the room maintenance was sub-par.";"3";"October 2026";"absolutely stunning resort the main pool was good but the room maintenance was sub par";"1,90";"7";"Positive";"0";"1";"0";"0";"1";"0";"1";"2";"0";"3"
"32";"A 5-star dream";"Our family stayed here. Butler service was perfect. Can't wait to come back.";"4";"December 2024";"our family stayed here butler service was perfect can t wait to come back";"0,90";"3";"Positive";"0";"2";"0";"0";"1";"0";"0";"2";"1";"2"
"33";"Slow service";"Not quite what we hoped. the check-in process was slightly confusing. They need to fix this.";"2";"May 2025";"not quite what we hoped the check in process was slightly confusing they need to fix this";"-0,50";"-2";"Negative";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"34";"A 5-star dream";"Absolutely stunning resort. Balinese hospitality was absolutely breathtaking! Best trip ever.";"4";"October 2026";"absolutely stunning resort balinese hospitality was absolutely breathtaking best trip ever";"2,75";"12";"Positive";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
"35";"Needs improvement";"The resort looks nice but the food quality was quite expensive. Very disappointed.";"1";"February 2024";"the resort looks nice but the food quality was quite expensive very disappointed";"-0,35";"3";"Negative";"1";"0";"1";"0";"1";"1";"0";"1";"1";"1"
"36";"Perfect getaway";"We just returned from Bvlgari. The spa treatment was outstanding. A must-visit in Bali.";"5";"November 2024";"we just returned from bvlgari the spa treatment was outstanding a must visit in bali";"1,30";"5";"Positive";"0";"1";"0";"0";"2";"0";"1";"1";"1";"3"
