aspect,review_id,review_date,aspect_rating,overall_rating,score_afinn,score_syuzhet,sentiment_category,title,review_excerpt,review_text
Value,122283414,Dec 2011,1,1,-7,0.3,Positive,Very Very Disappointed,"This hotel is overrated. The villa was generally very dirty. We found dead bodies of the bugs and insects on the bed and shower area when we first checked in to the room. They were not removed after our four days' stay there! The pool in the villa was exceptionally small, the ...","This hotel is overrated. The villa was generally very dirty. We found dead bodies of the bugs and insects on the bed and shower area when we first checked in to the room. They were not removed after our four days' stay there! The pool in the villa was exceptionally small, the public one was small compared to all other resorts in the same class. The private beach was a joke. Need to take a lift there. All the way were full of ants! The people there had no knowledge as to what time to arrange hotel car to send us to airport! At this price, we feel cheated!!"
Value,121474147,Dec 2011,1,1,-3,6.1499999999999995,Positive,Very Disappointing,This hotel in NO way resembles the Bulgari in Milan - with regard to design integrity and quality. It feels like a tired old Marriott (or similar) resort... Your first experience of the hotel is from the cliff top pavilion that houses the concierge. Reception is halfway down t...,"This hotel in NO way resembles the Bulgari in Milan - with regard to design integrity and quality. It feels like a tired old Marriott (or similar) resort... Your first experience of the hotel is from the cliff top pavilion that houses the concierge. Reception is halfway down the cliff. You are greeted by complacent staff, arrangements of stale frangipani and views to the ocean over the rooftops of the cascading villas (dotted with multi-coloured building tarpaulins). Perhaps management could have at least chosen standard black tarpaulins throughout if they were at all concerned that building work would detract from the ambiance of the resort. We booked an Ocean Cliff Villa for $USD1200 (plus taxes of around $240) and received on arrival, as part of the deal, an ""upgrade"" to a two bedroom Ocean Cliff Villa. This villa comprised of a walled entry garden with one enclosed living pavilion with two adjacent bedroom pavilions, an oceanfront plunge pool and exterior seating arrangements . One had to navigate an obstacle course of dirty pavers, located in a water feature, between the entry gate and the living pavilion. There was a standard shabby and dirty jute door mat at the entry of each pavilion - a lovely welcome. Entering the living pavilion there was a bowl of fruit and a welcome note to Mrs Elysia, from the GM, no mention of Mr.?? We were at once taken aback by the very poor quality of the joinery (minibars, wardrobes etc.), door joinery/hardware and soft furnishings. The minibar unit in the living pavilion and the other built-in joinery were particularly poorly constructed. Only a few of the doors to the pavilions were in working order. Many of the door handles were falling off the doors so it made it difficult to know which door to use to access each pavilion. The decking, surrounding the living pavilion, was in poor condition with sections of dry rot. On entering the small plunge pool one quickly noticed the mould around the edges of the pool. Make shift plywood roof boarding was clumsily retrofitted to link the pavilions (presumably to shield the rain). Yes there were B&O TV's in the bedroom pavilions. But in the main Living Pavilion the view of the ocean was completely obliterated by an extremely large basic LG TV. The bathroom had a shower stall lined with a sandstone type of material on the walls and floor. This sandstone was filthy - marked with mould and dark black streaks of dirt. The shower smelt dank and I needed to wear flip flops to actually stand to enter it. On turning on the water two small brown frogs jumped out of the shower floor waste and hopped around my legs while I showered. Disgusting! I had no desire at all to use the sunken bath as the slip proof stripping on the base of the bath was a dirty grey/brown colour. We weren't able to access the outdoor shower adjacent to the bathroom as again the door handle didn't work. The exterior shower wasn't too appealing either. The sheets and bedding were good quality. We couldn't understand why a large emergency lighting fitting appeared to be retrofitted under the bedside tables. Had the designer or contractor forgotten to include this essential life safety function in the base building design?? The majority of the glazing in the sleeping/living pavilions were covered by metres of pinch pleated block out curtains that dragged onto the floor. There was a coffee machine that had been used, by a previous guest, and not cleaned by housekeeping. An opened can of soda was also in the fridge (from a previous guest). There were NO nibbles of any kind provided - such as nuts, biscuits, chocolates etc. The majority of the shelves in the minibar units were bare except for a layer of dust. A kettle was located on a small stool adjacent to the joinery unit. The villas were generally very dusty. A sad little orchid with two drooping flowers was placed on the desk. We tried three times to order a bucket of ice from room service. On the third try we received a crude timber bucket of ice - no tray, napkins or glasses - just plonked onto the timber table. So horrified at the state of our villa we asked for a tour of one of the ocean cliff villas that we had actually booked. None were available so we were taken to one of the standard ocean view villas - higher up the hill. Although slightly less grotty, than our upgraded villa, it was similar in design and quality. We also decided to take a look at the beach and ""beach club"". It was a sweaty five minute trip in the inclined elevator. The beach bar looked like a Dai Pai Dong from a back street in Southern China - with some basic chairs and tables on two levels. We took a quick look at the beach. It consisted of a small strip of sand with some sun loungers and guests grilling themselves in the sun - without the possibility of cooling off in the inaccessible surf. The one common area pool, by the other restaurant and bar outlets, was rather small but it did have some nice covered cabanas around it. The weather was very hot and sunny. I can only imagine what it is like here when it rains. The whole resort is on a very steep slope and walking around on very uneven rough cobblestones was not a pleasant experience when it wasn't raining. The golf buggies that the staff drive around also showed signs of wear and tear. On returning to our villa we entered the sleeping pavilion to be greeted by a large mess of orange peel and flesh littered all over the floor by the bed. Obviously one of the resident monkeys had pushed open the closed (but not locked) door to the the room and enjoyed the facilities. We rang and advised the guest relations officer and quickly two chaps came to clean up the mess. They left the remaining oranges, that the chimp hadn't eaten, in the bowl - just incase we were a little peckish later?! So each time we moved between the living and sleeping pavilion we had to ensure that we locked the door. Before long there was a procession of chimps climbing along the seafront wall in front of the plunge pool. Viewing these cute creatures was the only highlight of our stay. Although my heart sank as I realised that they probably also enjoyed the plunge pool as well as the fruit bowl. After a couple of hours, of being watched intently by the chimps and feeling like we were the ""animals in the zoo"", we decided to leave our villa and have a drink at the main bar and an early dinner. The Italian restaurant had a private function so we booked a table at the Sangkar - the ""all day dining"" restaurant. Before leaving we rang and asked to meet with the General Manager in the morning in our villa - not mentioning the reason for our request. The Sangkar dinner menu was a mix of ""international"" items. We settled on the local indonesian fare. The food was good - not outstanding. Our fellow diners (infact all the other guests in the resort that we saw) appeared to be on package deals. The GM approached us during dinner and we had a quick discussion about our disappointment of the quality of the resort. We would have much preferred a chat with him in private. Breakfast was dismal. A really standard buffet with poor quality pastries, over-sweet yoghurt concoctions, sweaty cheese/meats - standard, standard fare - buzzing with flies. There was a small standard menu of congie, eggs etc. cooked to order. We didn't have any appetite to try these options. On leaving, the lock on the sleeping villa fell off the door and fell onto the ground...priceless ! We left early in the morning despite a guaranteed 4pm check-out. When we checked out we were advised that the GM had ""comped"" the room and all expenses (due to our displeasure at the standard of the product). I'm sure the clientele that we observed may have enjoyed their stay at the Bali Bulgari - probably only interested in the cachet of the Brand Name - and oblivious to the standard of a true five star hotel. There are many excellent, world class, five star resorts in Bali. In our opinion the Bulgari isn't one of them."
Value,26034594,Mar 2009,1,2,-3,9.5,Positive,Bad Villa Condition and Sloppy Housekeeping,"This resort supposedly represents the pinnacle of luxury in Bali as well as in Asia and have spectacular views. Indeed this hotel / resort is unlike any I have stayed before. The Bulgari chain only have two hotels in the world, and strive to deliver cutting edge luxury with co...","This resort supposedly represents the pinnacle of luxury in Bali as well as in Asia and have spectacular views. Indeed this hotel / resort is unlike any I have stayed before. The Bulgari chain only have two hotels in the world, and strive to deliver cutting edge luxury with contemporary design and rely on the drawing power of the Bvlgari brand. One thing you need to realize first is that this resort is very very expensive, the most pricey in Bali with rack rates starting in the range of thousand dollars per night. Booked the upper tier cliff ocean villa which has a direct ocean front view. However, it may not make sense to pay for the extras since you can get the same or better view from the resort’s common areas. The villa is divided neatly into outdoor and indoor area. The outdoor area comprises the dinning area, living room, a small ( and I mean very small ) garden and a very small plunge pool ( for dipping only, not for swimming ). The indoor area comprises of the bedroom, closet and bathroom. As expected, the design is modern contemporary and there’s a lot of attention to detail using much custom furniture and fittings. There’s also a stylish B&O TV which I enjoyed very much playing music and watch movies in it. . Floor to Ceiling wood panel windows allow the ocean view to pour into the room. Bathroom is a full ensuite with a deep soaking tub and is nicely designed but a bit too dark ( black is the color used here ). Nice Bvlgari toiletries provided. Bed is very comfy and sheets and bed linens are all first class. It’s also kind of nice to fall asleep listening to the ocean sounds. Unfortunately, there are also too many negatives. Things are not that easy to figure out, starting with the annoying doors that you have to twist the knob and key to a certain position otherwise it won’t open. There are many switches in the villa which took me quite a while to figure out, and I am used to high-tech hotel rooms. The room is also very dark and dim, especially at night with the predominant black and dark brown color scheme. Wireless Internet is complimentary but slow and unreliable. The worse of all is the wear and tear evident everywhere throughout the villa ( see photos ) and this resort is just barely over two years old, the result of using wood extensively which bears the scratch marks over prolong use and is rather unsightly. One standing lamp is so severely stained that it looked like someone just vomited over it. Strange that for the price this resort is charging, it is not doing more to in refurbishing and maintenance and it shows. I have stayed at older hotels and resorts which much better condition. It's a matter of whether the hotel is willing to invest in refurbishment. The wear and tear problem is exacerbated by the sloppy housekeeping of this resort. Dirt and stains all over the villa, cups not cleaned properly and strands of human hair in one of the amenity boxes ( see photos ). Totally unacceptable. Finally, to round up the series of annoying incidents, the aircon became warm middle of the night ( I have to adjust the temperature down to compensate ) and for some weird reasons, the cordless phone gave out a peeping sound too. I did complain about the condition of the villa and the sloppy housekeeping. The resort then waived my F&B charges and promised a complimentary night stay which I shall see if they will fulfilled, more as an evidence that the management is interested to rectify the problem rather than I want to come back to try this resort. Disappointingly, the General Manager whom I was told was informed of this complaint, did not bother to personally apologize to me and instead just sent one of his staff to discuss with me about their proposed compensation. He did sent a email afterwards though. The common areas are very nice, with a nice infinity pool ( but again small ), two restaurants, a bar and a gift shop and even a Bvlgari boutique right inside the resort. There’s a beach but can’t swim in it because of high tide. As expected, the prices for everything here is very expensive. Landscaping throughout the resort is well done indeed and it’s a pleasure to walk around to explore. Service is passable without any major fault but nothing very outstanding as well. Typical of Bali, they will take some time to attend to your request, it’s not immediate. But then this is not a business hotel so perhaps that is to be tolerated. One word of caution. The entire hotel seems to revolve around a specialized group of clientele only, ie the honeymooners and couples looking for a romantic getaway. So only come here to stay if this is your sole purpose, otherwise you will feel seriously out of place and there’s nothing much to do since this place is so secluded. Even if this is your purpose, for the price, there must be better value elsewhere in Bali which boasts literally hundreds of luxury resorts and villas. So in conclusion, this resort is way below expectation. I got a villa in poor condition with extremely sloppy housekeeping and overall, I have to rate this resort a low 2/5. Not withstanding the compensation offered by the resort, all these problems should not have happened in the first place. It’s such a pity because this is frankly a very beautiful resort and if maintain and run properly, has all the potential for greatness."
Value,195987935,Mar 2014,1,1,-1,4.95,Positive,Over rated !,"The scenery is really fantastic. But that is just it. We were there for my cousin wedding. We booked weeks ahead and requested a twin bed, but upon check in, it is not available. They were kind enough to offer extra bed in the room. But looking at the bed they brought in, the ...","The scenery is really fantastic. But that is just it. We were there for my cousin wedding. We booked weeks ahead and requested a twin bed, but upon check in, it is not available. They were kind enough to offer extra bed in the room. But looking at the bed they brought in, the bed must have been older than the hotel itself (Should have take photo of the extra bed). Dirty, holes, and with springs that can give you back pain. The room is in great need of renovation. The wooden floor creaks when you walk, some of the wood is rotten and maybe is due to the rainy season, so the wood kind of expand and you need to give the door an extra kick to open it. The worst is at night, i must have killed over twenty mosquito and yet they still keep coming. In the morning, was awaken by monkeys jumping on the roof of the villas. It's something new i must say. Around and in the hotel, there is pretty much nothing to do. One final word, if you are not here on honeymoon, better find another hotel."
Value,210054834,Jun 2014,1,2,0,-0.75,Negative,There are so many better options in Bali!,"My wife and I just back from a trip to Thailand and Bali. Of the 5 hotels we stayed(all in the same price range and service level of bulgari), Bulgari was our least favorite and most expensive. Our room would constantly leak every day. So, when we left in the morning there wou...","My wife and I just back from a trip to Thailand and Bali. Of the 5 hotels we stayed(all in the same price range and service level of bulgari), Bulgari was our least favorite and most expensive. Our room would constantly leak every day. So, when we left in the morning there would be a puddle of water in the bathroom. When we woke up in the morning, there would be a puddle of water in the bathroom. Every day for 3 days. In addition to this, there seemed to be more mosquitoes in our room than outside our room, I have to assume the water collection everyday had something to do with that. Lastly, the bed spread had blood on it. The blood was not ours and unfortunately we found it in the morning after sleeping with it the night before. In addition to the room, there seemed to be a lot of misunderstandings with the hotel staff. Granted, we speak English and this is probably a second language to most of the staff, but there just seemed to be a lot of things they didn't understand or miscues on their end that could have easily been avoided. Lastly, the overall price at the hotel was a lot more than all the other places we stayed at(2 4 seasons, peninsula and a COMO property). There are so many other options in Bali, that would just avoid Bulgary altogether. There beach isnt anything special, you cant even swim in their portion of the ocean. The only redeemable thing is their views, but you can get that same view at a few other hotels in the area."
Value,124004272,Feb 2012,1,1,1,-1.5,Negative,Disappointing!,"We stayed at the Cliff Villa. It is just an ordinary resort with BVI toiletries. View and location was great but others was disappointing!! We were intruded by monkeys, ants and lice the last night.","We stayed at the Cliff Villa. It is just an ordinary resort with BVI toiletries. View and location was great but others was disappointing!! We were intruded by monkeys, ants and lice the last night."
Value,181215325,Oct 2013,1,1,2,0.300000000000001,Positive,Beware of the monkeys here!,"We planned a trip here and thought it would be a dream vacation. It turned out to be a nightmare. This resort is beautiful, and is in an incredible spot. However, we did not realize it was inhabited by monkeys, as the resort is built on a cliffside of a former jungle that has ...","We planned a trip here and thought it would be a dream vacation. It turned out to be a nightmare. This resort is beautiful, and is in an incredible spot. However, we did not realize it was inhabited by monkeys, as the resort is built on a cliffside of a former jungle that has been home to the monkey population forever. We rented a cliffside villa, #11, for the stunning views. It was unfortunately the favorite hang out place for a large clan of monkeys (around 20). They invaded our space, opened the sliding doors, trashed the place and ate all the food (coffee packets included!) We had to keep calling for help to chase them off. It made me so uneasy, and we felt like prisoners in our own villa. If you don't lock the doors (all the rooms are separate spaces) they will come in. One brave rather large monkey followed us right into the bedroom to retrieve some fruit, and then proceeded to eat it on the doorstep! You cannot move freely about this type of villa without being invaded and feeling very vulnerable. The staff there are lovely people, but there is very little they can do other than assist you and say they are sorry about the monkeys. My complaint is that we had no warning from the hotel, except a little card on the bedside table alerting us to the ""local inhabitants"" and said don't leave your belongings outside, as the monkeys will take things! I had no idea it would be the most stressful trip of my life. These monkeys can be aggressive and have been known to bite people for no reason. There are other villas where this is not as much of a problem. But, if you are renting cliffside, you have been warned! These monkeys also enjoy invading the restaurant at breakfast time. It was comical to a degree. The staff are used to chasing them off. Glorious end to our stay was when the brakes failed on one of the buggies (golf cart) used to cart us up the steep roads to the entrance of the resort. We nearly missed being thrown over a wall because the driver hit a wall as we were hurling backwards. Nothing like a bit of whiplash and a few scrapes to end your 5 star vacation. I cannot recommend this place!"
Value,163750195,Jun 2013,1,1,2,-0.25,Negative,expensive hotel with unsatisfactory service,The service us terrible. the breakfst had insects lying around. the staff is not responsive to your request and comments i called the golf cart topick up to go to the restaurant but it took more than 15 mins to arrive need to keep on calling to get what you want. i asked them ...,The service us terrible. the breakfst had insects lying around. the staff is not responsive to your request and comments i called the golf cart topick up to go to the restaurant but it took more than 15 mins to arrive need to keep on calling to get what you want. i asked them why it took so long and the response was the restaurant was actually very close to my room and i could walk there.cant believe they are doing this under the name of the luxury brand name yet it is very expensive
Rooms,122283414,Dec 2011,1,1,-7,0.3,Positive,Very Very Disappointed,"This hotel is overrated. The villa was generally very dirty. We found dead bodies of the bugs and insects on the bed and shower area when we first checked in to the room. They were not removed after our four days' stay there! The pool in the villa was exceptionally small, the ...","This hotel is overrated. The villa was generally very dirty. We found dead bodies of the bugs and insects on the bed and shower area when we first checked in to the room. They were not removed after our four days' stay there! The pool in the villa was exceptionally small, the public one was small compared to all other resorts in the same class. The private beach was a joke. Need to take a lift there. All the way were full of ants! The people there had no knowledge as to what time to arrange hotel car to send us to airport! At this price, we feel cheated!!"
Rooms,121474147,Dec 2011,1,1,-3,6.1499999999999995,Positive,Very Disappointing,This hotel in NO way resembles the Bulgari in Milan - with regard to design integrity and quality. It feels like a tired old Marriott (or similar) resort... Your first experience of the hotel is from the cliff top pavilion that houses the concierge. Reception is halfway down t...,"This hotel in NO way resembles the Bulgari in Milan - with regard to design integrity and quality. It feels like a tired old Marriott (or similar) resort... Your first experience of the hotel is from the cliff top pavilion that houses the concierge. Reception is halfway down the cliff. You are greeted by complacent staff, arrangements of stale frangipani and views to the ocean over the rooftops of the cascading villas (dotted with multi-coloured building tarpaulins). Perhaps management could have at least chosen standard black tarpaulins throughout if they were at all concerned that building work would detract from the ambiance of the resort. We booked an Ocean Cliff Villa for $USD1200 (plus taxes of around $240) and received on arrival, as part of the deal, an ""upgrade"" to a two bedroom Ocean Cliff Villa. This villa comprised of a walled entry garden with one enclosed living pavilion with two adjacent bedroom pavilions, an oceanfront plunge pool and exterior seating arrangements . One had to navigate an obstacle course of dirty pavers, located in a water feature, between the entry gate and the living pavilion. There was a standard shabby and dirty jute door mat at the entry of each pavilion - a lovely welcome. Entering the living pavilion there was a bowl of fruit and a welcome note to Mrs Elysia, from the GM, no mention of Mr.?? We were at once taken aback by the very poor quality of the joinery (minibars, wardrobes etc.), door joinery/hardware and soft furnishings. The minibar unit in the living pavilion and the other built-in joinery were particularly poorly constructed. Only a few of the doors to the pavilions were in working order. Many of the door handles were falling off the doors so it made it difficult to know which door to use to access each pavilion. The decking, surrounding the living pavilion, was in poor condition with sections of dry rot. On entering the small plunge pool one quickly noticed the mould around the edges of the pool. Make shift plywood roof boarding was clumsily retrofitted to link the pavilions (presumably to shield the rain). Yes there were B&O TV's in the bedroom pavilions. But in the main Living Pavilion the view of the ocean was completely obliterated by an extremely large basic LG TV. The bathroom had a shower stall lined with a sandstone type of material on the walls and floor. This sandstone was filthy - marked with mould and dark black streaks of dirt. The shower smelt dank and I needed to wear flip flops to actually stand to enter it. On turning on the water two small brown frogs jumped out of the shower floor waste and hopped around my legs while I showered. Disgusting! I had no desire at all to use the sunken bath as the slip proof stripping on the base of the bath was a dirty grey/brown colour. We weren't able to access the outdoor shower adjacent to the bathroom as again the door handle didn't work. The exterior shower wasn't too appealing either. The sheets and bedding were good quality. We couldn't understand why a large emergency lighting fitting appeared to be retrofitted under the bedside tables. Had the designer or contractor forgotten to include this essential life safety function in the base building design?? The majority of the glazing in the sleeping/living pavilions were covered by metres of pinch pleated block out curtains that dragged onto the floor. There was a coffee machine that had been used, by a previous guest, and not cleaned by housekeeping. An opened can of soda was also in the fridge (from a previous guest). There were NO nibbles of any kind provided - such as nuts, biscuits, chocolates etc. The majority of the shelves in the minibar units were bare except for a layer of dust. A kettle was located on a small stool adjacent to the joinery unit. The villas were generally very dusty. A sad little orchid with two drooping flowers was placed on the desk. We tried three times to order a bucket of ice from room service. On the third try we received a crude timber bucket of ice - no tray, napkins or glasses - just plonked onto the timber table. So horrified at the state of our villa we asked for a tour of one of the ocean cliff villas that we had actually booked. None were available so we were taken to one of the standard ocean view villas - higher up the hill. Although slightly less grotty, than our upgraded villa, it was similar in design and quality. We also decided to take a look at the beach and ""beach club"". It was a sweaty five minute trip in the inclined elevator. The beach bar looked like a Dai Pai Dong from a back street in Southern China - with some basic chairs and tables on two levels. We took a quick look at the beach. It consisted of a small strip of sand with some sun loungers and guests grilling themselves in the sun - without the possibility of cooling off in the inaccessible surf. The one common area pool, by the other restaurant and bar outlets, was rather small but it did have some nice covered cabanas around it. The weather was very hot and sunny. I can only imagine what it is like here when it rains. The whole resort is on a very steep slope and walking around on very uneven rough cobblestones was not a pleasant experience when it wasn't raining. The golf buggies that the staff drive around also showed signs of wear and tear. On returning to our villa we entered the sleeping pavilion to be greeted by a large mess of orange peel and flesh littered all over the floor by the bed. Obviously one of the resident monkeys had pushed open the closed (but not locked) door to the the room and enjoyed the facilities. We rang and advised the guest relations officer and quickly two chaps came to clean up the mess. They left the remaining oranges, that the chimp hadn't eaten, in the bowl - just incase we were a little peckish later?! So each time we moved between the living and sleeping pavilion we had to ensure that we locked the door. Before long there was a procession of chimps climbing along the seafront wall in front of the plunge pool. Viewing these cute creatures was the only highlight of our stay. Although my heart sank as I realised that they probably also enjoyed the plunge pool as well as the fruit bowl. After a couple of hours, of being watched intently by the chimps and feeling like we were the ""animals in the zoo"", we decided to leave our villa and have a drink at the main bar and an early dinner. The Italian restaurant had a private function so we booked a table at the Sangkar - the ""all day dining"" restaurant. Before leaving we rang and asked to meet with the General Manager in the morning in our villa - not mentioning the reason for our request. The Sangkar dinner menu was a mix of ""international"" items. We settled on the local indonesian fare. The food was good - not outstanding. Our fellow diners (infact all the other guests in the resort that we saw) appeared to be on package deals. The GM approached us during dinner and we had a quick discussion about our disappointment of the quality of the resort. We would have much preferred a chat with him in private. Breakfast was dismal. A really standard buffet with poor quality pastries, over-sweet yoghurt concoctions, sweaty cheese/meats - standard, standard fare - buzzing with flies. There was a small standard menu of congie, eggs etc. cooked to order. We didn't have any appetite to try these options. On leaving, the lock on the sleeping villa fell off the door and fell onto the ground...priceless ! We left early in the morning despite a guaranteed 4pm check-out. When we checked out we were advised that the GM had ""comped"" the room and all expenses (due to our displeasure at the standard of the product). I'm sure the clientele that we observed may have enjoyed their stay at the Bali Bulgari - probably only interested in the cachet of the Brand Name - and oblivious to the standard of a true five star hotel. There are many excellent, world class, five star resorts in Bali. In our opinion the Bulgari isn't one of them."
