aspect_key,aspect_label,term,count_high,count_low,total_high,total_low,low_review_share,high_review_share,lift_low_vs_high,log_lift_low_vs_high,afinn_term_score,term_sentiment,term_type
value_rating,Value,ants,0,6,254,85,0.076,0.002,38.547,3.652,0,neutral,word
value_rating,Value,cost,0,5,254,85,0.064,0.002,32.616,3.485,0,neutral,word
value_rating,Value,costs,0,5,254,85,0.064,0.002,32.616,3.485,0,neutral,word
value_rating,Value,difficult,0,5,254,85,0.064,0.002,32.616,3.485,-1,negative,word
value_rating,Value,insects,0,5,254,85,0.064,0.002,32.616,3.485,0,neutral,word
value_rating,Value,overpriced,0,5,254,85,0.064,0.002,32.616,3.485,0,neutral,word
value_rating,Value,apology,0,4,254,85,0.052,0.002,26.686,3.284,-1,negative,word
value_rating,Value,bowl,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,branding,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,brown,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,bug,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,chicken,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,cons,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,credit,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,disgusting,0,4,254,85,0.052,0.002,26.686,3.284,-3,negative,word
value_rating,Value,dust,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,falling,0,4,254,85,0.052,0.002,26.686,3.284,-1,negative,word
value_rating,Value,glasses,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,humid,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,machine,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,poorly,0,4,254,85,0.052,0.002,26.686,3.284,-2,negative,word
value_rating,Value,pros,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,rice,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,waited,0,4,254,85,0.052,0.002,26.686,3.284,0,neutral,word
value_rating,Value,floor,1,11,254,85,0.134,0.006,22.733,3.124,0,neutral,word
value_rating,Value,assistance,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,blame,0,3,254,85,0.041,0.002,20.756,3.033,-2,negative,word
value_rating,Value,blocked,0,3,254,85,0.041,0.002,20.756,3.033,-1,negative,word
value_rating,Value,buzzing,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,contrast,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,decent,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,degree,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,flies,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,fly,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,furniture,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,insisted,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,mistake,0,3,254,85,0.041,0.002,20.756,3.033,-2,negative,word
value_rating,Value,outlets,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,pricing,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,refund,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,result,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,sleeping,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,speak,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,swarming,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,swimmable,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,wearing,0,3,254,85,0.041,0.002,20.756,3.033,0,neutral,word
value_rating,Value,worse,0,3,254,85,0.041,0.002,20.756,3.033,-3,negative,word
value_rating,Value,mosquitoes,1,9,254,85,0.11,0.006,18.779,2.933,0,neutral,word
value_rating,Value,half,1,7,254,85,0.087,0.006,14.826,2.696,0,neutral,word
value_rating,Value,sheets,1,7,254,85,0.087,0.006,14.826,2.696,0,neutral,word
value_rating,Value,similar,1,7,254,85,0.087,0.006,14.826,2.696,0,neutral,word
value_rating,Value,walking,1,7,254,85,0.087,0.006,14.826,2.696,0,neutral,word
value_rating,Value,accommodate,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,actual,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,aesthetically,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,age,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,aggressive,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,aging,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,alarm,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,alright,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,appetite,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,applying,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,assist,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,avoid,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,word
value_rating,Value,badly,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,band,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,barely,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,basic,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,bedsheets,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,bedside,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,behold,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,biscuits,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,blessed,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,boutique,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,caused,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,changed,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,chasing,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,cheated,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,chilled,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,climate,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,coke,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,como,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,comped,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,con,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,conditions,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,consecutive,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,considerably,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,control,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,cup,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,curtains,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,dead,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,department,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,depending,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,dirt,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,dismal,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,dogs,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,drank,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,drop,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,word
value_rating,Value,electricity,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,entering,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,equipment,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,feedback,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,figure,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,filthy,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,fire,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,floorboards,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,flying,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,fridge,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,gloomy,0,2,254,85,0.029,0.002,14.826,2.696,-2,negative,word
value_rating,Value,granted,0,2,254,85,0.029,0.002,14.826,2.696,1,positive,word
value_rating,Value,handle,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,handles,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,hardware,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,heat,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,holes,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,inclined,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,invest,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,january,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,jumped,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,killed,0,2,254,85,0.029,0.002,14.826,2.696,-3,negative,word
value_rating,Value,knobs,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,lacks,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,leak,0,2,254,85,0.029,0.002,14.826,2.696,-1,negative,word
value_rating,Value,legs,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,lizards,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
value_rating,Value,loudly,0,2,254,85,0.029,0.002,14.826,2.696,0,neutral,word
