review_id,review_date,rating,low_aspects,score_afinn_per_median_review,score_afinn_raw,title,review_text
6100932,Nov 2006,5,Value=3,12.444444444444443,21,"Great villas, exceptional food","We were anxious to see the Bulgari hotel, having stayed at two other resorts in Bali and everyone talking about it. There was a slight concern about the service level since the hotel just opened a few weeks ago. The facilities of the villas are outstanding. Plunge pool, outside terraces and space, GREAT food and restaurants. It has a different feel than the Amanresorts. If you are looking for true quietness, you might be better off at one of the Amans'. However, the Bulgari manages to bring in a stylish feeling to Bali which one probably cannot find anywhere else, without destroying the Bali style and spirit. To me, a perfect mix! The service was good but not perfect as is to be expected at such a new resort. I m not someone who stops the watch to see how quick my breakfast is here...so I had no issues at all. My wife and I spent 2 full days just at the villa it was so nice without leaving it. It is not cheap but if one looks for a stylish alternative to the Aman's go for it !"
8423553,Aug 2007,4,Value=2,11.291553133514986,37,"Stylish, slick but not quite what you expect","My husband and I stayed here for 4 nights in June and had a beautiful stay. The hotel grounds are amazing and the suites are incredibly stylish and well appointed. We found the GM and the other senior managers most welcoming and ready to give a superior service but this didn't quite trickle down to the staff. The Balinese staff are wonderful but their training needs to be more polished. Breakfast we waited 10 minutes to get served, with three other couples in the restaurant, and the inability to get a cup of tea which had left to brew astounded me with the price that the cup of tea costs. Slightly frustrating. For the first two days it was buffet then they decided to change it to a-la carte??? The poolside menu is pretentious, who wants a Wagyu beef burger or a pizza with foie grass on it? Simplicity is so much more stylish. The poolside menu is so expensive it is a bit off putting. Sunset cocktails are a must, the strawberry caprioska's are divine, and with this they serve 7 mini dishes from the Italian restaurant. This is worth it. The restaurants are really nice but again who wants lobster in their nasi goreng, not me. I see their luxury angle but it is a bit lost on me when there are so many good restaurants in Bali which are into simple, organic healthy food. There were a number of cashed of people who were drinking red wine in 90% humidity who obviously thought that this is what the rich do???? I understand champagne,chilled white wine or cocktails but a bottle of Grange in 36 degree heat, yuck. The spa is divine. I was in an ocean view suite and the scrub and massge was really good worth the money. We will go back there but we do get better service at a hotel whihc is not nearly as expensive as has so many restaurants shopping etc around it. It really is a couples only hotel. I would not go there with a group of friends. I hope that the staff have been better inducted and the menu has been simplified when we go back there."
16526888,Jun 2008,4,Value=3; Service=2,12.061538461538461,35,Stunning....with a bit of attitude.,"I have to caveat my review by saying that we did not spend the night here. We spent the day here at the spa and then had lunch. We were going to spend a night but were turned off by some of the staff and 'rules' so decided not to. More on that.... This property is stunning. Absolutely beautiful. Probably the most beautiful that I've ever seen actually. The spa is gorgeous and the 'relaxing' area is magnificent. We had the full package spa thing with a private villa. Do NOT pay for the private villa - it is not worth it. The spa services were ok...but the setting is really what you are going for...again, so stunning!!! We looked at a room and they were fabulous - no question. We went to the restaurant and it was fabulous with delicious food, drinks, service - just watch the beautiful sea go by. The pool was magnificent and this is really where the problem came in. We had just spent just as much as a room in their spa, there was 3 people by the pool (the hotel is empty) and when we went to go for a dip after having lunch and drinks (just 2 of us), we were told that the pool was off limits to us. Mind you, we were sitting about 10 yards from the pool. The whole thing just kind of turned us off...I completely understand that there must be policies and if the pool was crowded that this might be an issue...or if we had just showed up for lunch or a drink and then proceeded to camp out by the pool for the day...but, we had just spent almost $1K there and it was 3 or 4 in the afternoon. Anyway, this is a beautiful property and i would recommend one, maybe two nights here if you can afford it (not cheap). More than that would be too much I think."
35634541,Jul 2009,5,Value=3,9.72549019607843,31,Luxury at the end of the World,"The Bvlgari Bali has a spectacular location on the cliff of the southern end of Uluwatu. You are greeted at the airy ""lobby"" and brought down to the actual resort by small golf cars. The grounds of the hotels are perfectly designed. Everything thaughtfully planned, without looking to perfect. The common pool is so beautiful, with several daybeds and sunloungers spread around. To get to the beach you need to take a small cable car, quite steep, but when you get down to the beach, you are standing with on one of the most picture perfect beaches in the world!!! The villas are beautiful, with a good layout and beautiful decorated with furniture by B&B Italia. Each villa has a small plunge pool, all with the same spectacular view. Only thing is that the villas are a little dark inside... I was a little disappointed of the villas, you can experience the same at several other resorts around the island, to a much lower rate. The three restaurants served gourmet cuisine, and it was memorable to dine on the edge of the cliff with thousands of stars above you and the waves rolling on the beach 100 meters below. I missed my special one sitting there alone..... The spa treatment was one of the best ever! Among other treatments, I had a 4 hour session in a private open air pavillion, truly perfect! The spa lady had the special touch that separate mediate massage from the top notch! The treatments are pricey, but worth every rupiah! You go there to experience one of the finest resorts ever build, to worship the sun and get the perfect tan, to have fantastic spa treatments, to eat great food and to pamper yourself. The rate for my villa vwas around USD 900,-. There are no complimentary pick up at the airport, they charge you USD 115,- each way. The Bvlgari is also quite isolated, and you need to hire a driver to get around. Then you can start the discussion, is it worth it..... For a stay of 3/4 nights just to have the experience of the place, absolutely! For a 2 weeks holiday, no....."
36631247,Aug 2009,4,Value=2; Location=3,8.564705882352943,13,Fine hotel but not worth the hype,"I have been reading the glowing reviews of Bulgari and suspect it is from people who do not frequent Bali a lot. In short, it is a fine hotel but nothing particularly spectacular in virtually any respect (rooms, service, location, etc.). We had a two bedroom villa with a central livingroom. It was fine. The view was spectacular. The restaurant was typical for Bali with a mix of local and international cuisine - all fine. The service in the restaurants was quite attentive to the needs of our children. The beach (although really not swimmable) is something to behold - we were there with the family for an hour without seeing another soul! In short, everything was fine but it is not so different from the Four Seasons Jimbaran but about 2X the price. As a family that returns to Bali every 3 months, we would not return to this hotel. Check out The Samaya in Seminyak (cool and trendy), the Four Seasons in Jimbaran (great for families) or any of the Amans."
37668579,Aug 2009,4,Value=2; Cleanliness=2; Service=3,7.368421052631579,35,"Probably one of the top 5 in Bali, but definitely not the best","Before starting this review, I'd like to say that I have been to Bali in July/August 8 times already, in good conditions, and that I have been to many high end hotels and resorts on the island. I had heard many positive comments/reviews concerning the Bulgari and I was rather excited to stay in this hotel for 4 nights. However I left with a contrasted impression due to several points I will now develop. Pros: -The situation is pretty decent, as the view is definitely breathtaking (one of the nicest in Bali), and the hotel is located less than half an hour away from the International Airport. -The hotel itself is design and, as it is only 34 months old, it is still in good condition. The decoration is modern and more tasteful than at the Four Seasons at Jimbaran Bay. -There are two very nice boutiques located within the hotel (they are pretty expensive though). -The breakfast, which is a hybrid between ""all you can eat"" buffet and a la carte, is delicious and offers a sumptuous view. -The bathroom is beautiful, spacious and clean. It contains 2 showers (outdoor and indoor) and a large bathtub, plus two sinks. Cons: -The service is OK, but definitely not worth the price. Service at Four Seasons Sayan/JImbaran Bay, Alila, any of the Aman hotels is clearly better, personnel is more attentive. A few examples: the buggy (which is indispensable to any movement in the hotel) once took 20 minutes to arrive at my room while ""5 to 7 minutes"" is announced; the staff at the restaurants is not as professional as in Mozaic, Cire or the restaurant of the Amandari for instance; we had booking issues at the restaurant because our butler forgot to make the reservation for us... -The food at the Italian restaurant, which is supposed to be the best of its kind on the island, is overpriced and not that great. -The beach is nice but it is almost impossible to go swim: the ground is full of rocks and the waves are more of the ""surfing caliber"" - high and dangerous. -The 2 rooms I've been into were infected with armies of tiny ants. I found some in my bag, inside my laptop... Some came under my keyboard (annoying), and BEHIND my screen (very annoying). In total, I probably killed around 40 before giving up and asking for some bug spray. -The cliffside villas have a great view but the ones that are located higher offer a pretty mediocre view. -The rooms are poorly lit. Huge windows compensate during the day, but the room is somber after sunset. To conclude, overall Bulgari is a classy and sumptuous 5 star hotel. However I would not recommend it to a friend as some other comparable hotels that offer relatively similar prestations are slightly better... and cheaper. I am thinking about the brand new Alila which is extremely design (almost making Bulgari look traditional), offers a better service and serves tastier food for a couple hundred dollars less per night. I would also recommend the Four Seasons at Jimbaran Bay, which is very similar to Bulgari (although older) but offers a truly professional service at a lower price."
38439832,Aug 2009,4,Value=3,7.516778523489933,10,"Very luxurious Villa, average food","I agree with the 2 previous posts, and just want to add that the Italian Restaurant was uninspired and pretentious, while the asian one was serving great food. We had a villa on the second row, but still with a nice sea view, the transfer to the beach is spectacular, and we had a mile long walk without encountering anyone. (but it is not possible to swim in the ocean) The decoration and furniture of the villa and the bathroom was high-end ,but a little bit too dark,and the bed was too soft. (with spring noises) On one day we were served a mediocre breakfast with canned juice, they apologised and took it off the bill, on the second day breakfast was perfect. Great service from Agung our personal butler. They charge 60 US $ + tax for the airport drop off in their cheapest car, taxi was 8,50 US$"
48778633,Nov 2009,5,Value=3,10.016260162601625,44,Posh resort,"Security at the resort is very high, as soon as we got to the gates, our car was checked by 2 guards and our luggage by watch dogs! We thought this was too much. Other than that, we thought the resort was incredibly beautiful, luxurious and extravagant in every way. Ocean Villa Our villa faced the sea, however the Spa opposite to our villa blocked a portion of the view (make sure your villa is unobstructed). The villa is furnished extravagantly with white and black being the dominant colors. The bed is the most comfortable bed you'll ever sleep on; the sheets and pillows were of the highest quality too. The bathroom is very modern and there is an oversized bath-tub in the centre. There are indoor and outdoor showers with Bvlgari toiletries. There is a complimentary beach bag for you and your spouse including a straw hat and a kite. The garden in the villa is well landscaped and contains a lovely seating and dining area. The private pool is nice but small and the water was a little too cold to swim in. We didnt feel that our villa was private as people passing the hill behind the spa can look into our pool and tanning beds. However, it was still amazing to sit and tan all day long with an incredible view of the sea a few meters ahead. And the great thing was that we didnt see a single bug, which was amazing as Bali is a tropical island. Service The service was good and the staff were friendly, knowing that we were from the middle east, they provided two middle eastern music CD's in the room specially for us. Although it is mentioned that there is a host to every villa, we didnt hear or see much of our host. We had to make our own restaurant reservations, arrange the buggy and call front desk to inquire about activities and places to visit. Thus we didnt feel the service was personal. Food The food was amazing, really tasty! The breakfast was great and we also had the in-villa dining a couple of times which was fresh, and really tasty. I tried the Balinese food so cant comment on the Italian or others. Spa The Bvlgari spa is the most beautiful spa I've ever seen from an architectural point of view. I just had a hair cut there, which turned out well but took too long. All in all, we had a wonderful stay but thought that the rooms were grossly overpriced, USD1000 for the lowest category room was definitely steep. Also, the overly posh atmosphere had us on edge sometimes and so we werent completely relaxed. I would only go again of they reduced their rates by half or had really good offers although I still do recommend this hotel for a couple of days but not more."
50981733,Dec 2009,5,Location=3,21.22105263157895,18,Jaw-dropping in every aspect,"Went to the Bulgari for our friends wedding reception. Beautiful setting (Apertivo at the Bar, followed by seven course feast at Sangkar, then drinks), spotless service. Villas (we took a peak at our friend's villa) were sophisticated and elegant. The property exceeded itself in ensuring that everyone had a great time when our friends waved off to their happily ever after. Everything in the property was jaw-dropping, from the views, cliff, service and food, along with the most expensive stuff you can find in a hotel gift shop (a 182,000 USD Watch perhaps? hehe)"
59027308,Mar 2010,4,Value=3; Rooms=1,28.47457627118644,15,"Visited for dinner, stunning resort!","In my opinion the resorts staff and public areas are the best! The views are amazing, the bar is fantastic and every staff member is impressive. It is a shame that they have a reputation for small villas & small plunge pool. If you can get a good rate, I'd definately stay here to experience the restaurants, views etc."
