country,review_count,median_afinn_per_median_review,mean_afinn_per_median_review,negative_text_share
Germany,6,23.06,19.46,0.167
United Kingdom,29,23.03,23.08,0.034
Malaysia,12,22.48,23.05,0.083
New Zealand,9,22.4,22.33,0
United Arab Emirates,14,21.05,21.05,0.071
Philippines,10,20.75,17.21,0.1
France,11,20.27,30.63,0
Thailand,6,18.63,19.77,0
Switzerland,10,18.31,19.03,0
China,40,17.98,17.48,0.075
Brazil,7,17.84,22.8,0.143
India,18,17.64,23.67,0
South Korea,7,16.99,16.38,0
Spain,6,16.76,18.76,0
Canada,10,16.74,15.69,0
Indonesia,70,16.01,18.23,0.029
Australia,73,14,15.46,0.055
Taiwan,10,13.98,13.32,0
United States,98,13.58,15.36,0
Singapore,55,13.04,14.58,0.018
Italy,6,12.98,15.62,0
Hong Kong,7,8.97,11.38,0.286
Japan,6,8.32,8.75,0.167
